Club Name,City,Stadium,Country,Est. Date,User Name,Logo
Conilon,Jaguaré,,Brazil,,,
Espírito Santo,Anchieta,,Brazil,,,
Espírito Santo SE,Colatina,,Brazil,,,
Estrela do Norte,Cachoeiro de Itapemirim,,Brazil,,,
Guarapari,Guarapari,,Brazil,,,
Jaguaré,Jaguaré,,Brazil,,,
Linhares,Linhares,,Brazil,,,
Real Madri,Colatina,,Brazil,,,
Real Noroeste,Águia Branca,,Brazil,,,
Rio Bananal,Rio Bananal,,Brazil,,,
Rio Branco,Vitória,,Brazil,,,
São Mateus,São Mateus,,Brazil,,,
Serra,Serra,,Brazil,,,
Tupy,Vila Velha,,Brazil,,,
Veneciano,Nova Venécia,,Brazil,,,
Vilavelhense,Vila Velha,,Brazil,,,
Vitória,Vitória,,Brazil,,,
Colatina,Colatina,,Brazil,,,
Linhares,Linhares,,Brazil,,,
Muniz Freire,Muniz Freire,,Brazil,,,
Nova Venécia,Nova Venécia,,Brazil,,,
América (GO),Morrinhos,,Brazil,,,
Anapolina,Anápolis,,Brazil,,,
Aparecidense,Aparecida de Goiânia,,Brazil,,,
Atlético Goianiense,Goiânia,,Brazil,,,
Canedense,Senador Canedo,,Brazil,,,
CRAC,Catalão,,Brazil,,,
Goianésia,Goianésia,,Brazil,,,
Goiânia,Goiânia,,Brazil,,,
Goiás,Goiânia,,Brazil,,,
Goiatuba,Goiatuba,,Brazil,,,
Grêmio Anápolis,Anápolis,,Brazil,,,
Itumbiara,Itumbiara,,Brazil,,,
Jataí,Jataí,,Brazil,,,
Jataiense,Jataí,,Brazil,,,
Mineiros,Mineiros,,Brazil,,,
Morrinhos,Morrinhos,,Brazil,,,
Novo Horizonte,Ipameri,,Brazil,,,
Rio Verde,Rio Verde,,Brazil,,,
Rioverdense,Rio Verde,,Brazil,,,
Santa Helena,Santa Helena de Goiás,,Brazil,,,
Trindade,Trindade,,Brazil,,,
Vila Nova,Goiânia,,Brazil,,,
Ferroviário,Goiânia,,Brazil,,,
Grêmio Inhumense,Inhumas,,Brazil,,,
Americano,Bacabal,,Brazil,,,
Bacabal,Bacabal,,Brazil,,,
Boa Vontade,São Luís,,Brazil,,,
Caxiense,Caxias,,Brazil,,,
Chapadinha,Chapadinha,,Brazil,,,
Comerciário,São Luís,,Brazil,,,
Cordino,Barra do Corda,,Brazil,,,
Ferroviário (MA),São Luís,,Brazil,,,
IAPE,São Luís,,Brazil,,,
Imperatriz,Imperatriz,,Brazil,,,
JV Lideral,Imperatriz,,Brazil,,,
Maranhão,São Luís,,Brazil,,,
Marília,Imperatriz,,Brazil,,,
Moto Club,São Luís,,Brazil,,,
Nacional (MA),Santa Inês,,Brazil,,,
Sabiá,Caxias,,Brazil,,,
Sampaio Corrêa,São Luís,,Brazil,,,
Santa Inês,Santa Inês,,Brazil,,,
Santa Quitéria,Santa Quitéria do Maranhão,,Brazil,,,
São Bento,São Bento,,Brazil,,,
São José (MA),São José de Ribamar,,Brazil,,,
Tocantins (MA),Imperatriz,,Brazil,,,
Viana,Viana,,Brazil,,,
Araguaia,Alto Araguaia,,Brazil,,,
Arsenal,Sorriso,,Brazil,,,
Barra do Garças,Barra do Garças,,Brazil,,,
Cacerense,Cáceres,,Brazil,,,
CRAC,Campo Verde,,Brazil,,,
Cuiabá,Cuiabá,,Brazil,,,
Dom Bosco,Cuiabá,,Brazil,,,
Jaciara,Jaciara,,Brazil,,,
Juventude,Primavera do Leste,,Brazil,,,
Luverdense,Lucas do Rio Verde,,Brazil,,,
Mixto,Cuiabá,,Brazil,,,
Nova Xavantina,Nova Xavantina,,Brazil,,,
Operário,Várzea Grande,,Brazil,,,
Primavera,Primavera do Leste,,Brazil,,,
Rondonópolis,Rondonópolis,,Brazil,,,
Sinop,Sinop,,Brazil,,,
Sorriso,Sorriso,,Brazil,,,
Tangará,Tangará da Serra,,Brazil,,,
União,Rondonópolis,,Brazil,,,
Vila Aurora,Rondonópolis,,Brazil,,,
Atlético (MT),Cuiabá,,Brazil,,,
Berga,Cuiabá,,Brazil,,,
Santa Cruz,Barra do Bugres,,Brazil,,,
AA Sinop,Sinop,,Brazil,,,
Sinop EC,Sinop,,Brazil,,,
Águia Negra,Rio Brilhante,,Brazil,,,
Aquidauanense,Aquidauana,,Brazil,,,
Campo Grande,Campo Grande,,Brazil,,,
Cassilandense,Cassilândia,,Brazil,,,
CENE,Campo Grande,,Brazil,,,
Colorado,Caarapó,,Brazil,,,
Comercial,Campo Grande,,Brazil,,,
Corumbaense,Corumbá,,Brazil,,,
Coxim,Coxim,,Brazil,,,
Itaporã,Itaporã,,Brazil,,,
Ivinhema,Ivinhema,,Brazil,,,
Maracaju,Maracaju,,Brazil,,,
Misto,Três Lagoas,,Brazil,,,
Moreninhas,Campo Grande,,Brazil,,,
Naviraiense,Naviraí,,Brazil,,,
Novoperário,Campo Grande,,Brazil,,,
Operário,Campo Grande,,Brazil,,,
Operário de Dourados,Dourados,,Brazil,,,
Pantanal,Corumbá,,Brazil,,,
Paranaibense,Paranaíba,,Brazil,,,
Ponta Porã,Ponta Porã,,Brazil,,,
Rio Verde,Rio Verde de Mato Grosso,,Brazil,,,
Saad,Campo Grande,,Brazil,,,
Sete de Setembro,Dourados,,Brazil,,,
SERC,Chapadão do Sul,,Brazil,,,
Taveirópolis,Campo Grande,,Brazil,,,
URSO,Mundo Novo,,Brazil,,,
Corinthians (MS),Bataguassu,,Brazil,,,
Ubiratan,Dourados,,Brazil,,,
América Mineiro,Belo Horizonte,,Brazil,,,
América de Teófilo Otoni,Teófilo Otoni,,Brazil,,,
Araxá,Araxá,,Brazil,,,
Arsenal,Santa Luzia,,Brazil,,,
Atlético Mineiro,Belo Horizonte,,Brazil,,,
Caldense,Poços de Caldas,,Brazil,,,
CAP Uberlândia,Uberlândia,,Brazil,,,
Coimbra,Itaúna,,Brazil,,,
Cruzeiro,Belo Horizonte,,Brazil,,,
Democrata (GV),Governador Valadares,,Brazil,,,
Democrata (SL),Sete Lagoas,,Brazil,,,
Esportivo,Passos,,Brazil,,,
Fabril,Lavras,,Brazil,,,
Fluminense (MG),Araguari,,Brazil,,,
Formiga,Formiga,,Brazil,,,
Funorte,Montes Claros,,Brazil,,,
Guarani (MG),Divinópolis,,Brazil,,,
Ipatinga,Ipatinga,,Brazil,,,
Ituiutaba,Ituiutaba,,Brazil,,,
Jacutinga,Jacutinga,,Brazil,,,
Mamoré,Patos de Minas,,Brazil,,,
Passense,Passos,,Brazil,,,
Nacional de Muriaé,Muriaé,,Brazil,,,
Nacional de Nova Serrana,Nova Serrana,,Brazil,,,
Nacional de Uberaba,Uberaba,,Brazil,,,
Olympic,Barbacena,,Brazil,,,
Rio Branco de Andradas,Andradas,,Brazil,,,
Siderúrgica,Sabará,,Brazil,,,
Social,Coronel Fabriciano,,Brazil,,,
Tombense,Tombos,,Brazil,,,
Tupi,Juiz de Fora,,Brazil,,,
Tupynambás,Juiz de Fora,,Brazil,,,
Uberaba,Uberaba,,Brazil,,,
Uberlândia,Uberlândia,,Brazil,,,
URT,Patos de Minas,,Brazil,,,
Valeriodoce,Itabira,,Brazil,,,
Villa Nova,Nova Lima,,Brazil,,,
Flamengo (MG),Varginha,,Brazil,,,
Patrocinense,Patrocínio,,Brazil,,,
Poços de Caldas,Poços de Caldas,,Brazil,,,
Yale,Belo Horizonte,,Brazil,,,
Abaeté,Abaetetuba,,Brazil,,,
Águia de Marabá,Marabá,,Brazil,,,
Ananindeua,Ananindeua,,Brazil,,,
Bragantino,Bragança,,Brazil,,,
Cametá,Cametá,,Brazil,,,
Castanhal,Castanhal,,Brazil,,,
Gavião Kyikatejê,Bom Jesus do Tocantins,,Brazil,,,
Independente,Tucuruí,,Brazil,,,
Izabelense,Santa Isabel do Pará,,Brazil,,,
Paragominas,Paragominas,,Brazil,,,
Parauapebas,Parauapebas,,Brazil,,,
Paysandu,Belém,,Brazil,,,
Remo,Belém,,Brazil,,,
Santa Cruz,Salinópolis,,Brazil,,,
Santa Rosa,"Icoaraci, Belém",,Brazil,,,
São Francisco,Santarém,,Brazil,,,
São Raimundo,Santarém,,Brazil,,,
Sport Belém,Belém,,Brazil,,,
Tapajós,Santarém,,Brazil,,,
Time Negra,Belém,,Brazil,,,
Tuna Luso,Belém,,Brazil,,,
Vila Rica,Belém,,Brazil,,,
União Esportiva,Belém,,Brazil,,,
América de Caaporã,Caaporã,,Brazil,,,
Atlético Cajazeirense,Cajazeiras,,Brazil,,,
Auto Esporte,João Pessoa,,Brazil,,,
Botafogo (PB),João Pessoa,,Brazil,,,
Campinense,Campina Grande,,Brazil,,,
Cruzeiro (PB),Itaporanga,,Brazil,,,
CSP,João Pessoa,,Brazil,,,
Esporte,Patos,,Brazil,,,
Flamengo Paraibano,João Pessoa,,Brazil,,,
Desportiva Guarabira,Guarabira,,Brazil,,,
Miramar,Cabedelo,,Brazil,,,
Nacional de Cabedelo,Cabedelo,,Brazil,,,
Nacional de Patos,Patos,,Brazil,,,
Paraíba,Cajazeiras,,Brazil,,,
Perilima,Campina Grande,,Brazil,,,
Santa Cruz (PB),Santa Rita,,Brazil,,,
Santos (PB),João Pessoa,,Brazil,,,
Sousa,Sousa,,Brazil,,,
Treze,Campina Grande,,Brazil,,,
Confiança (PB),Sapé,,Brazil,,,
Adap Galo,Maringá,,Brazil,,,
Apucarana,Apucarana,,Brazil,,,
Arapongas,Arapongas,,Brazil,,,
Atlético Paranaense,Curitiba,,Brazil,,,
Batel,Guarapuava,,Brazil,,,
Cascavel,Cascavel,,Brazil,,,
FC Cascavel,Cascavel,,Brazil,,,
Cianorte,Cianorte,,Brazil,,,
Comercial (PR),Cornélio Procópio,,Brazil,,,
Coritiba,Curitiba,,Brazil,,,
Engenheiro Beltrão,Engenheiro Beltrão,,Brazil,,,
Foz do Iguaçu,Foz do Iguaçu,,Brazil,,,
Francisco Beltrão,Francisco Beltrão,,Brazil,,,
Hawaí,Campo Mourão,,Brazil,,,
Iguaçu,União da Vitória,,Brazil,,,
Iraty,Irati,,Brazil,,,
J. Malucelli,Curitiba,,Brazil,,,
Londrina,Londrina,,Brazil,,,
Matsubara,Cambará,,Brazil,,,
Nacional,Rolândia,,Brazil,,,
Operário,Ponta Grossa,,Brazil,,,
Paraná,Curitiba,,Brazil,,,
Paranavaí,Paranavaí,,Brazil,,,
Pato Branco,Pato Branco,,Brazil,,,
Pitanguense,Pitanga,,Brazil,,,
Portuguesa,Londrina,,Brazil,,,
Prudentópolis EC,Prudentópolis,,Brazil,,,
Prudentópolis FC,Prudentópolis,,Brazil,,,
PSTC,Londrina,,Brazil,,,
Real Brasil,Curitiba,,Brazil,,,
Rio Branco,Paranaguá,,Brazil,,,
Roma,Apucarana,,Brazil,,,
Toledo,Toledo,,Brazil,,,
Umuarama,Umuarama,,Brazil,,,
ADAP,Campo Mourão,,Brazil,,,
América (PR),Curitiba,,Brazil,,,
Britânia,Curitiba,,Brazil,,,
Cambaraense,Cambará,,Brazil,,,
Cascavel,Cascavel,,Brazil,,,
Colorado,Curitiba,,Brazil,,,
Ferroviário (PR),Curitiba,,Brazil,,,
Galo Maringá,Maringá,,Brazil,,,
Grêmio Maringá,Maringá,,Brazil,,,
Internacional (PR),Curitiba,,Brazil,,,
Monte Alegre,Telêmaco Borba,,Brazil,,,
Palestra Itália (PR),Curitiba,,Brazil,,,
Pinheiros (PR),Curitiba,,Brazil,,,
Ponta Grossa,Ponta Grossa,,Brazil,,,
União Bandeirante,Bandeirantes,,Brazil,,,
1º de Maio,Petrolina,,Brazil,,,
América (PE),Paulista,,Brazil,,,
Araripina,Araripina,,Brazil,,,
Belo Jardim,Belo Jardim,,Brazil,,,
Cabense,Cabo de Santo Agostinho,,Brazil,,,
Central,Caruaru,,Brazil,,,
Centro Limoeirense,Limoeiro,,Brazil,,,
Estudantes,Timbaúba,,Brazil,,,
Ferroviário (PE),Serra Talhada,,Brazil,,,
Ferroviário do Recife,Recife,,Brazil,,,
Flamengo de Arcoverde,Arcoverde,,Brazil,,,
Íbis,Olinda,,Brazil,,,
Itacuruba,Itacuruba,,Brazil,,,
Manchete,Recife,,Brazil,,,
Náutico,Recife,,Brazil,,,
Paulistano,Paulista,,Brazil,,,
Petrolina,Petrolina,,Brazil,,,
Porto (PE),Caruaru,,Brazil,,,
Salgueiro,Salgueiro,,Brazil,,,
Santa Cruz,Recife,,Brazil,,,
Serrano (PE),Serra Talhada,,Brazil,,,
Sete de Setembro,Garanhuns,,Brazil,,,
Sport,Recife,,Brazil,,,
Timbaúba,Timbaúba,,Brazil,,,
Vera Cruz,Vitória de Santo Antão,,Brazil,,,
Vitória (PE),Vitória de Santo Antão,,Brazil,,,
Ypiranga,Santa Cruz do Capibaribe,,Brazil,,,
Unibol,Paulista,,Brazil,,,
Vitória das Tabocas,Vitória de Santo Antão,,Brazil,,,
Flamengo (PE),Recife,,Brazil,,,
Torre,Recife,,Brazil,,,
Tramways,Recife,,Brazil,,,
4 de Julho,Piripiri,,Brazil,,,
Auto Esporte (PI),Teresina,,Brazil,,,
Barras,Barras,,Brazil,,,
Caiçara,Campo Maior,,Brazil,,,
Comercial (PI),Campo Maior,,Brazil,,,
Cori-Sabbá,Floriano,,Brazil,,,
Flamengo (PI),Teresina,,Brazil,,,
Parnahyba,Parnaíba,,Brazil,,,
Piauí,Teresina,,Brazil,,,
Picos,Picos,,Brazil,,,
Princesa do Sul,Floriano,,Brazil,,,
Ríver,Teresina,,Brazil,,,
Tiradentes,Teresina,,Brazil,,,
Botafogo (PI),Teresina,,Brazil,,,
America,Rio de Janeiro,,Brazil,,,
América (TR),Três Rios,,Brazil,,,
Americano,Campos dos Goytacazes,,Brazil,,,
Angra dos Reis,Angra dos Reis,,Brazil,,,
Aperibeense,Aperibé,,Brazil,,,
Artsul,Nova Iguaçu,,Brazil,,,
Audax Rio de Janeiro,São João de Meriti,,Brazil,,,
Bangu,Rio de Janeiro,,Brazil,,,
Barcelona,Rio de Janeiro,,Brazil,,,
Barra Mansa,Barra Mansa,,Brazil,,,
Bela Vista,Niterói,,Brazil,,,
Boavista,Saquarema,,Brazil,,,
Bonsucesso,Rio de Janeiro,,Brazil,,,
Botafogo,Rio de Janeiro,,Brazil,,,
Bréscia,Magé,,Brazil,,,
Cabofriense,Cabo Frio,,Brazil,,,
Campo Grande,Rio de Janeiro,,Brazil,,,
Carapebus,Carapebus,,Brazil,,,
Cardoso Moreira,Cardoso Moreira,,Brazil,,,
Casimiro de Abreu,Casimiro de Abreu,,Brazil,,,
Castelo Branco,Rio de Janeiro,,Brazil,,,
Ceres,Rio de Janeiro,,Brazil,,,
CFZ do Rio,Rio de Janeiro,,Brazil,,,
Duque de Caxias,Duque de Caxias,,Brazil,,,
Duquecaxiense,Duque de Caxias,,Brazil,,,
Entrerriense,Três Rios,,Brazil,,,
Faissal,Itaboraí,,Brazil,,,
Fênix,Barra Mansa,,Brazil,,,
Flamengo,Rio de Janeiro,,Brazil,,,
Fluminense,Rio de Janeiro,,Brazil,,,
Fonseca,Niterói,,Brazil,,,
Friburguense,Nova Friburgo,,Brazil,,,
Futuro Bem Próximo,Rio de Janeiro,,Brazil,,,
Goytacaz,Campos dos Goytacazes,,Brazil,,,
Guanabara,Araruama,,Brazil,,,
Imperial,Petrópolis,,Brazil,,,
Itaperuna,Itaperuna,,Brazil,,,
Juventus (RJ),Rio de Janeiro,,Brazil,,,
La Coruña,Rio de Janeiro,,Brazil,,,
Macaé,Macaé,,Brazil,,,
Madureira,Rio de Janeiro,,Brazil,,,
Mesquita,Mesquita,,Brazil,,,
Nilópolis,Nilópolis,,Brazil,,,
Nova Cidade,Nilópolis,,Brazil,,,
Nova Iguaçu,Nova Iguaçu,,Brazil,,,
Olaria,Rio de Janeiro,,Brazil,,,
Portuguesa,Rio de Janeiro,,Brazil,,,
Quissamã,Quissamã,,Brazil,,,
Resende,Resende,,Brazil,,,
Rio Bonito,Rio Bonito,,Brazil,,,
Rio Branco,Campos dos Goytacazes,,Brazil,,,
Rubro Social,Araruama,,Brazil,,,
Sampaio Corrêa (RJ),Saquarema,,Brazil,,,
Santa Cruz (RJ),Rio de Janeiro,,Brazil,,,
São Cristóvão,Rio de Janeiro,,Brazil,,,
São João da Barra,São João da Barra,,Brazil,,,
Serra Macaense,Macaé,,Brazil,,,
Serrano,Petrópolis,,Brazil,,,
Teresópolis,Teresópolis,,Brazil,,,
Tigres do Brasil,Rio de Janeiro,,Brazil,,,
Tio Sam,Niterói,,Brazil,,,
Tomazinho,São João de Meriti,,Brazil,,,
União Central,Rio de Janeiro,,Brazil,,,
União de Marechal Hermes,Rio de Janeiro,,Brazil,,,
Vasco da Gama,Rio de Janeiro,,Brazil,,,
Villa Rio,Rio de Janeiro,,Brazil,,,
Volta Redonda,Volta Redonda,,Brazil,,,
Barra (RJ),Teresópolis,,Brazil,,,
Bayer,Belford Roxo,,Brazil,,,
Eletrovapo,Niterói,,Brazil,,,
Football and Athletic,Rio de Janeiro,,Brazil,,,
Mangueira,Rio de Janeiro,,Brazil,,,
Manufatora,Niterói,,Brazil,,,
Paissandu,Rio de Janeiro,,Brazil,,,
Rio Cricket,Rio de Janeiro,,Brazil,,,
Rodoviário,Piraí,,Brazil,,,
ABC,Natal,,Brazil,,,
Alecrim,Natal,,Brazil,,,
América de Natal,Natal,,Brazil,,,
ASSU,Assu,,Brazil,,,
Baraúnas,Mossoró,,Brazil,,,
Centenário Pauferrense,Pau dos Ferros,,Brazil,,,
Coríntians,Caicó,,Brazil,,,
Globo,Ceará-Mirim,,Brazil,,,
Macau,Macau,,Brazil,,,
Palmeira,Goianinha,,Brazil,,,
Pauferrense,Pau dos Ferros,,Brazil,,,
Potiguar,Mossoró,,Brazil,,,
Potiguar de Parnamirim,Parnamirim,,Brazil,,,
Potyguar de Currais Novos,Currais Novos,,Brazil,,,
Santa Cruz,Santa Cruz,,Brazil,,,
São Gonçalo,São Gonçalo do Amarante,,Brazil,,,
14 de Julho,Santana do Livramento,,Brazil,,,
15 de Novembro,Campo Bom,,Brazil,,,
Aimoré,São Leopoldo,,Brazil,,,
Atlético Carazinho,Carazinho,,Brazil,,,
Avenida,Santa Cruz do Sul,,Brazil,,,
Bagé,Bagé,,Brazil,,,
Brasil de Farroupilha,Farroupilha,,Brazil,,,
Brasil de Pelotas,Pelotas,,Brazil,,,
Canoas,Canoas,,Brazil,,,
Canoas,Canoas,,Brazil,,,
Caxias,Caxias do Sul,,Brazil,,,
Cerâmica,Gravataí,,Brazil,,,
Cruzeiro (RS),Porto Alegre,,Brazil,,,
Esportivo,Bento Gonçalves,,Brazil,,,
Farroupilha,Pelotas,,Brazil,,,
Garibaldi,Garibaldi,,Brazil,,,
Gaúcho,Passo Fundo,,Brazil,,,
Glória,Vacaria,,Brazil,,,
Grêmio,Porto Alegre,,Brazil,,,
Grêmio Santanense,Santana do Livramento,,Brazil,,,
Guarani,Venâncio Aires,,Brazil,,,
Guarany de Bagé,Bagé,,Brazil,,,
Guarany de Camaquã,Camaquã,,Brazil,,,
Guarany de Cruz Alta,"Cruz Alta, Rio Grande do Sul",,Brazil,,,
Igrejinha,Igrejinha,,Brazil,,,
Internacional,Porto Alegre,,Brazil,,,
Internacional (SM),Santa Maria,,Brazil,,,
Juventude,Caxias do Sul,,Brazil,,,
Juventus,Santa Rosa,,Brazil,,,
Lajeadense,Lajeado,,Brazil,,,
Milan,Júlio de Castilhos,,Brazil,,,
Mundo Novo,Três Coroas,,Brazil,,,
Nacional (RS),Cruz Alta,,Brazil,,,
Nova Prata,Nova Prata,,Brazil,,,
Novo Hamburgo,Novo Hamburgo,,Brazil,,,
Panambi,Panambi,,Brazil,,,
Passo Fundo,Passo Fundo,,Brazil,,,
Pedrabranca,Alvorada,,Brazil,,,
Pelotas,Pelotas,,Brazil,,,
Porto Alegre,Porto Alegre,,Brazil,,,
Rio Grande,Rio Grande,,Brazil,,,
Riograndense,Santa Maria,,Brazil,,,
Riopardense,Rio Pardo,,Brazil,,,
Santa Cruz (RS),Santa Cruz do Sul,,Brazil,,,
Santo Ângelo,Santo Ângelo,,Brazil,,,
São Gabriel,São Gabriel,,Brazil,,,
São José de Porto Alegre,Porto Alegre,,Brazil,,,
São Luiz,Ijuí,,Brazil,,,
São Paulo (RS),Rio Grande,,Brazil,,,
Sapucaiense,Sapucaia do Sul,,Brazil,,,
Três Passos,Três Passos,,Brazil,,,
Tupy,Crissiumal,,Brazil,,,
União Frederiquense,Frederico Westphalen,,Brazil,,,
Uruguaiana,Uruguaiana,,Brazil,,,
Veranópolis,Veranópolis,,Brazil,,,
Ypiranga,Erechim,,Brazil,,,
Americano de Porto Alegre,Porto Alegre,,Brazil,,,
Força e Luz,Porto Alegre,,Brazil,,,
Renner,Porto Alegre,,Brazil,,,
Ajax,Vilhena,,Brazil,,,
Ariquemes,Ariquemes,,Brazil,,,
CFA,Porto Velho,,Brazil,,,
Cruzeiro (RO),Porto Velho,,Brazil,,,
Espigão,Espigão d'Oeste,,Brazil,,,
Genus,Porto Velho,,Brazil,,,
Grêmio Recreativo,Espigão d'Oeste,,Brazil,,,
Guajará,Guajará-Mirim,,Brazil,,,
Ji-Paraná,Ji-Paraná,,Brazil,,,
Moto Clube,Porto Velho,,Brazil,,,
Pimentense,Pimenta Bueno,,Brazil,,,
Rolim de Moura,Rolim de Moura,,Brazil,,,
Shallon,Porto Velho,,Brazil,,,
União Cacoalense,Cacoal,,Brazil,,,
Vilhena,Vilhena,,Brazil,,,
Ariquemes,Ariquemes,,Brazil,,,
Ferroviário (RO),Porto Velho,,Brazil,,,
Flamengo,Porto Velho,,Brazil,,,
Ulbra Ji-Paraná,Ji-Paraná,,Brazil,,,
Baré,Boa Vista,,Brazil,,,
GAS,Boa Vista,,Brazil,,,
Náutico (RR),Boa Vista,,Brazil,,,
Progresso,Mucajaí,,Brazil,,,
Real,São Luiz do Anauá,,Brazil,,,
Rio Negro,Boa Vista,,Brazil,,,
Roraima,Boa Vista,,Brazil,,,
River (RR),Boa Vista,,Brazil,,,
São Raimundo,Boa Vista,,Brazil,,,
Atlético Cidade,Tubarão,,Brazil,,,
Atlético Alto Vale,Rio do Sul,,Brazil,,,
Avaí,Florianópolis,,Brazil,,,
Brusque,Brusque,,Brazil,,,
Camboriú,Camboriú,,Brazil,,,
Caxias (SC),Joinville,,Brazil,,,
Chapecoense,Chapecó,,Brazil,,,
Concórdia,Concórdia,,Brazil,,,
Criciúma,Criciúma,,Brazil,,,
Figueirense,Florianópolis,,Brazil,,,
Guarani de Palhoça,Palhoça,,Brazil,,,
Hercílio Luz,Tubarão,,Brazil,,,
Hermann Aichinger,Ibirama,,Brazil,,,
Imbituba,Imbituba,,Brazil,,,
Inter de Lages,Lages,,Brazil,,,
Joinville,Joinville,,Brazil,,,
Juventus,Jaraguá do Sul,,Brazil,,,
Marcílio Dias,Itajaí,,Brazil,,,
Metropolitano,Blumenau,,Brazil,,,
Operários Mafrenses,Mafra,,Brazil,,,
Porto (SC),Porto União,,Brazil,,,
Próspera,Criciúma,,Brazil,,,
Tubarão,Tubarão,,Brazil,,,
Xanxerense,Xanxerê,,Brazil,,,
América (SC),Joinville,,Brazil,,,
Carlos Renaux,Brusque,,Brazil,,,
Lauro Müller,Itajaí,,Brazil,,,
Metropol,Criciúma,,Brazil,,,
Olímpico,Blumenau,,Brazil,,,
Paula Ramos,Florianópolis,,Brazil,,,
Paysandu (SC),Brusque,,Brazil,,,
Água Santa,Diadema,,Brazil,,,
América (SP),São José do Rio Preto,,Brazil,,,
Americana,Americana,,Brazil,,,
Américo,Américo Brasiliense,,Brazil,,,
Assisense,Assis,,Brazil,,,
Atibaia,Atibaia,,Brazil,,,
Atlético Sorocaba,Sorocaba,,Brazil,,,
Audax São Paulo,Osasco,,Brazil,,,
Bandeirante,Birigüi,,Brazil,,,
Barretos,Barretos,,Brazil,,,
Barueri,Barueri,,Brazil,,,
Batatais,Batatais,,Brazil,,,
Botafogo,Ribeirão Preto,,Brazil,,,
Bragantino,Bragança Paulista,,Brazil,,,
Brasa,Mirassol,,Brazil,,,
Brasilis,Águas de Lindóia,,Brazil,,,
CAL/Bariri,Bariri,,Brazil,,,
Capivariano,Capivari,,Brazil,,,
Comercial,Ribeirão Preto,,Brazil,,,
Corinthians,São Paulo,,Brazil,,,
Corinthians B,São Paulo,,Brazil,,,
Desportivo Brasil,Porto Feliz,,Brazil,,,
ECO,Osasco,,Brazil,,,
ECUS,Suzano,,Brazil,,,
Elosport,Capão Bonito,,Brazil,,,
Fernandópolis,Fernandópolis,,Brazil,,,
Ferroviária,Araraquara,,Brazil,,,
Flamengo de Guarulhos,Guarulhos,,Brazil,,,
Francana,Franca,,Brazil,,,
Grêmio Catanduvense,Catanduva,,Brazil,,,
Grêmio Barueri,Barueri,,Brazil,,,
Grêmio Osasco,Osasco,,Brazil,,,
Guaçuano,Mogi Guaçu,,Brazil,,,
Guarani,Campinas,,Brazil,,,
Guaratinguetá,Guaratinguetá,,Brazil,,,
Guarujá,Guarujá,,Brazil,,,
Guarulhos,Guarulhos,,Brazil,,,
Independente,Limeira,,Brazil,,,
Inter de Bebedouro,Bebedouro,,Brazil,,,
Inter de Limeira,Limeira,,Brazil,,,
Itapirense,Itapira,,Brazil,,,
Ituano,Itu,,Brazil,,,
Jabaquara,Santos,,Brazil,,,
Jaboticabal,Jaboticabal,,Brazil,,,
Jacareí,Jacareí,,Brazil,,,
Jalesense,Jales,,Brazil,,,
Joseense,São José dos Campos,,Brazil,,,
Juventus (SP),São Paulo,,Brazil,,,
Lemense,Leme,,Brazil,,,
Linense,Lins,,Brazil,,,
Manthiqueira,Guaratinguetá,,Brazil,,,
Marília,Marília,,Brazil,,,
Matonense,Matão,,Brazil,,,
Mauaense,Mauá,,Brazil,,,
Mirassol,Mirassol,,Brazil,,,
Mogi Mirim,Mogi-Mirim,,Brazil,,,
Monte Azul,Monte Azul,,Brazil,,,
Nacional,São Paulo,,Brazil,,,
Noroeste,Bauru,,Brazil,,,
Grêmio Novorizontino,Novo Horizonte,,Brazil,,,
Oeste,Itápolis,,Brazil,,,
Olé Brasil,Ribeirão Preto,,Brazil,,,
Olímpia,Olímpia,,Brazil,,,
Osasco,Osasco,,Brazil,,,
Osvaldo Cruz,Osvaldo Cruz,,Brazil,,,
Palestra,São Bernardo do Campo,,Brazil,,,
Palmeiras,São Paulo,,Brazil,,,
Palmeiras B,São Paulo,,Brazil,,,
Palmeirinha,Porto Ferreira,,Brazil,,,
Paraguaçuense,Paraguaçu Paulista,,Brazil,,,
Paulínia,Paulínia,,Brazil,,,
Paulista,Jundiaí,,Brazil,,,
Penapolense,Penápolis,,Brazil,,,
Pirassununguense,Pirassununga,,Brazil,,,
Ponte Preta,Campinas,,Brazil,,,
Portuguesa,São Paulo,,Brazil,,,
Portuguesa Santista,Santos,,Brazil,,,
Primavera,Indaiatuba,,Brazil,,,
Primeira Camisa,São José dos Campos,,Brazil,,,
Radium,Mococa,,Brazil,,,
Red Bull Brasil,São Paulo,,Brazil,,,
Rio Branco,Americana,,Brazil,,,
Rio Claro,Rio Claro,,Brazil,,,
Rio Preto,São José do Rio Preto,,Brazil,,,
Santacruzense,Santa Cruz do Rio Pardo,,Brazil,,,
Santo André,Santo André,,Brazil,,,
Santos,Santos,,Brazil,,,
São Bento,Sorocaba,,Brazil,,,
São Bernardo,São Bernardo do Campo,,Brazil,,,
São Carlos,São Carlos,,Brazil,,,
São Caetano,São Caetano do Sul,,Brazil,,,
São José,São José dos Campos,,Brazil,,,
São Judas Tadeu,Jaguariúna,,Brazil,,,
São Paulo,São Paulo,,Brazil,,,
São Vicente,São Vicente,,Brazil,,,
Sertãozinho,Sertãozinho,,Brazil,,,
Sumaré,Sumaré,,Brazil,,,
