#Traducción al castellano formal - Valeria Glazunov - OKEYGO y SOCIALENGINE.ES - Versión Julio de 2013 - ESV4.1 - SE. 4.6
#Algunas frases pese a estar traducidas no aparecerán al usuario final debido a fallos del código de Social Engine en los que no aparece la variable "translate"


#VÍDEO

"Video";"Vídeo"
"_ACTIVITY_ACTIONTYPE_GROUP_PROMOTE";"Nombramientos dentro del Grupo."
"_ACTIVITY_ACTIONTYPE_GROUP_TOPIC_CREATE";"Crear un Debate dentro del grupo."
"_ACTIVITY_ACTIONTYPE_GROUP_TOPIC_REPLY";"Contestando a un tema de debate del grupo."
"ACTIVITY_TYPE_COMMENTED_GROUP";"Cuando alguien comente sobre un Grupo sobre el que hice un comentario."
"ACTIVITY_TYPE_COMMENT_GROUP";"Cuando alguien comente sobre uno de mis  Grupos."
"ACTIVITY_TYPE_LIKED_GROUP";"Cuando alguien comente sobre un Grupo que recomendé."
"ACTIVITY_TYPE_LIKE_GROUP";"Cuando alguien recomiende uno de mis grupos."
"ACTIVITY_TYPE_GROUP_APPROVE";"Cuando alguien solicite unirse a un grupo que he creado."
"ACTIVITY_TYPE_GROUP_ACCEPTED";"Cuando se apruebe mi solicitud de unirme a un Grupo."
"ACTIVITY_TYPE_GROUP_CREATE";"Cuando se cree un nuevo Grupo."
"ACTIVITY_TYPE_GROUP_DISCUSSION_REPLY";"Cuando alguien responda sobre las mismas temáticas del Grupo que yo."
"ACTIVITY_TYPE_GROUP_DISCUSSION_RESPONSE";"Cuando alguien responda sobre temáticas del Grupo que creé."
"ACTIVITY_TYPE_GROUP_INVITE";"Cuando sea invitado a unirme a un Grupo."
"ACTIVITY_TYPE_GROUP_JOIN";"Cuando un nuevo Usuario se una al Grupo."
"ACTIVITY_TYPE_GROUP_PHOTO_UPLOAD";"Cuando se suba una nueva foto a un Grupo."
"ACTIVITY_TYPE_GROUP_PROMOTE";"Cuando se me nombre Coordinador de un Grupo."
"ACTIVITY_TYPE_GROUP_TOPIC_CREATE";"Cuando se cree una nueva temática en el Grupo."
"ACTIVITY_TYPE_GROUP_TOPIC_REPLY";"Cuando alguien responda a una temática del Grupo."
"GROUP_FORM_ADMIN_LEVEL_DESCRIPTION";"Estas configuraciones se aplican en función del nivel de usuario. Seleccione el nivel de usuario que quiere modificar y ajuste a continuación las preferencias para ese nivel."
"Allow Viewing of Groups?";"¿Permitir la visualización de grupos?"
"GROUP_FORM_ADMIN_LEVEL_VIEW_DESCRIPTION";"¿Desea que sus usuarios vean los  Grupos? Si decide que NO, algunos otros ajustes no surtirán efecto."
"No, do not allow photo groups to be viewed.";"No, no permitir ver las fotos del Grupo."
"Yes, allow viewing and subscription of photo groups.";"Sí, permitir el visionado y la suscripción a las fotos del Grupo."
"Yes, allow members to view all groups, even private ones.";"Sí, permitir a los usuarios ver todos los grupos, incluidos los privados."
"Allow Creation of Groups?";"¿Permitir la creación de  Grupos?"
"GROUP_FORM_ADMIN_LEVEL_CREATE_DESCRIPTION";"¿Desea permitir a sus usuarios crear  Grupos? Si decide que NO, algunos otros ajustes no surtirán efecto. Esto es especialmente útil si desea permitir ver los  Grupos a sus usuarios pero quiere restringir a unos pocos usuarios o nivel de usuarios el crearlos."
"No, do not allow groups to be created.";"No, no permitir la creación de grupos."
"Yes, allow creation of groups.";"Sí, permitir la creación de grupos."
"Allow Editing of Groups?";"¿Permitir la edición de  Grupos?"
"Do you want to let users edit and delete groups?";"¿Desea permitir a los Usuarios editar y borrar  Grupos?"
"No, do not allow groups to be edited.";"No, no permitir editar los  Grupos."
"Yes, allow  members to edit their own groups.";"Sí, permitir a los usuarios editar sus propios  Grupos."
"Yes, allow members to edit everyone's groups.";"Sí, permitir a los usuarios editar TODOS los  Grupos."
"Group Privacy";"Privacidad del grupo"
"GROUP_FORM_ADMIN_LEVEL_AUTHVIEW_DESCRIPTION";"Sus usuarios pueden elegir de entre cualquiera de las opciones marcadas más abajo Quién deciden que pueden ver sus  Grupos. Si no selecciona opción alguna, Todos podrán ver sus  Grupos."
"Group Posting Options";"Opciones de Comentario a  Grupos"
"GROUP_FORM_ADMIN_LEVEL_AUTHCOMMENT_DESCRIPTION";"Sus usuarios pueden seleccionar de entre las siguientes opciones Quiénes pueden hacer comentarios a sus debates de Grupo. Si no selecciona alguna de ellas, todos podrán hacer comentarios."
"Owner Only";"Sólo el Propietario"
"Photo Upload Options";"Opciones de subida de Fotos"
"GROUP_FORM_ADMIN_LEVEL_AUTHPHOTO_DESCRIPTION";"Sus usuarios pueden seleccionar de entre las siguientes opciones Quiénes pueden subir fotos al Evento. Si no selecciona alguna de ellas, todos podrán subir fotos."
"My Groups";"Mis  Grupos"
"Delete Group?";"¿Borrar Grupo?"
"Are you sure that you want to delete this group? It will not be recoverable after being deleted.";"¿Desea borrar este Grupo? Esta acción, una vez confirmada, no puede deshacerse."
"Are you sure you want to delete the selected groups?";"¿Desea borrar los  Grupos seleccionados?"
"GROUP_VIEWS_SCRIPTS_ADMINMANAGE_INDEX_DESCRIPTION";"Esta página muestra todos los  Grupos creados por sus usuarios. Puede emplearla para monitorizarlos y borrar, si se da el caso, material inapropiado. Introduzca un criterio de búsqueda en el campo de búsqueda para buscar  Grupos específicos. Si deja el campo en blanco se mostrarán todos los  Grupos."
"GROUP_VIEWS_SCRIPTS_ADMINSETTINGS_CATEGORIES_DESCRIPTION";"Si desea permitir a sus usuarios la categorización de sus  Grupos, cree las categorías más abajo. Esta función es útil si quiere listar los  Grupos de todos los usuarios pues en caso de no tener categorías sus usuarios no tendrán la posibilidad de asignar su Grupo a categoría alguna."
"_EMAIL_GROUP_ACCEPTED_TITLE";"Grupo aprobado"
"_EMAIL_GROUP_ACCEPTED_SUBJECT";"Grupo aprobado"
"_EMAIL_GROUP_ACCEPTED_BODY";"Grupo aprobado"
"_EMAIL_GROUP_ACCEPTED_DESCRIPTION";"Este correo electrónico se envía al usuario cuando se les acepta en un Grupo.
<br />
<br />
Variables disponibles:
<br />
[displayname],[group],[link]"
"_EMAIL_GROUP_DISCUSSION_REPLY_TITLE";"Contestación a Debate de Grupo"
"_EMAIL_GROUP_DISCUSSION_REPLY_DESCRIPTION";"Este correo electrónico se envía al usuario cuando la gente responde a temas de debate que creó.
<br />
<br />
Variables disponibles:
<br />
[displayname],[subject],[message],[link]"
"_EMAIL_GROUP_DISCUSSION_RESPONSE_TITLE";"Respuesta a Debate de Grupo"
"_EMAIL_GROUP_DISCUSSION_RESPONSE_DESCRIPTION";"Este correo electrónico se envía al usuario cuando la gente responde a temas de debate en los que a su vez ha participado.
<br />
<br />
Variables disponibles:
<br />
[displayname],[subject],[message],[link]"
"_EMAIL_GROUP_INVITE_TITLE";"Invitación a grupo"
"_EMAIL_GROUP_INVITE_DESCRIPTION";"Este correo electrónico se envía al usuario cuando se le invita a un Grupo.
<br />
<br />
Variables disponibles:
<br />
[displayname],[subject],[group]"
"_EMAIL_GROUP_PROMOTE_TITLE";"Nuevo Coordinador"
"_EMAIL_GROUP_PROMOTE_DESCRIPTION";"Este correo electrónico se envía al usuario cuando se le nombra coordinador de un grupo.
<br />
<br />
Variables disponibles:
<br />
[displayname],[group]"
"{item:$subject} created a new group:";"{item:$subject} creó un nuevo Grupo:"
"{item:$subject} joined the group {item:$object}";"{item:$subject} se unió al Grupo {item:$object}"
"{item:$subject} added {var:$count} photo(s).";"{item:$subject} añadió {var:$count} foto(s)."
"{item:$subject} has been made an officer for the group {item:$object}";"{item:$subject} ha sido nombrado coordinador del grupo {item:$object}"
"{item:$subject} posted a {item:$object:topic} in the group {itemParent:$object:group}: {body:$body}";"{item:$subject} publicó un {item:$object:topic} en el Grupo {itemParent:$object:group}: {body:$body}"
"{item:$subject} replied to a {item:$object:topic} in the group {itemParent:$object:group}: {body:$body}";"{item:$subject} contestó a {item:$object:topic} en el Grupo {itemParent:$object:group}: {body:$body}"
"Search Members";"Buscar usuarios"
"owner";"propietario"
"officer";"coordinador"
"Browse Groups";"Listar grupos"
"ITEM_TYPE_GROUP";" Grupos"
"ITEM_TYPE_GROUP_ALBUM";"Álbumes de Grupo"
"ITEM_TYPE_GROUP_PHOTO";"Fotos de Grupo"
"ITEM_TYPE_GROUP_TOPIC";"Tema de Debate de Grupo"
"ITEM_TYPE_GROUP_POST";"Artículo de debate de Grupo"
"Animals";"Animales"
"Business & Finance";"Negocios y Finanzas"
"Computers & Internet";"Ordenadores e Internet"
"Cultures & Community";"Comunidad y Cultura"
"Dating & Relationships";"Relaciones"
"Entertainment & Arts";"Artes y Entretenimiento"
"Family & Home";"Hogar y Familia"
"Games";"Juegos"
"Government & Politics";"Gobierno y Política"
"Health & Wellness";"Salud y Bienestar"
"Hobbies & Crafts";"Aficiones y Habilidades"
"Recreation & Sports";"Deportes y Entretenimiento"
"Regional";"Regional"
"Religion & Beliefs";"Religión y Creencias"
"Schools & Education";"Educación"
"Science";"Ciencia"
"All Group Members";"Todos los miembros del Grupo"
"Groups Plugin";"Plugin de  Grupos"
"Manage Groups";"Administrar  Grupos"
"Allow Deletion of Groups?";"¿Permitir el borrado de  Grupos?"
"Do you want to let members delete groups? If set to no, some other settings on this page may not apply.";"Desea permitir a los usuarios borrar Grupos? Si decide que NO, algunos otros ajustes no surtirán efecto."
"Yes, allow members to delete their own groups.";"Sí, permitir a los usuarios borrar sus  Grupos."
"No, do not allow members to delete their groups.";"No, no permitir a los usuarios borrar sus  Grupos."
"Allow Commenting on Groups?";"¿Permitir comentarios en los  Grupos?"
"Do you want to let members of this level comment on groups?";"¿Desea permitir a los usuarios de este nivel comentar en los  Grupos?"
"Yes, allow members to comment on groups.";"Sí, permitir comentarios en los  Grupos."
"No, do not allow members to comment on groups.";"No, no permitir comentar en los  Grupos."
"Group Profile Discussions";"Debates del perfil del grupo"
"Group Profile Events";"Eventos del Perfil del grupo"
"Group Profile Info";"Información del Perfil del Grupo"
"Group Profile Members";"Usuarios del Grupo"
"Group Profile Options";"Opciones de Perfil del Grupo"
"Group Profile Photo";"Foto del Perfil del Grupo"
"Group Profile Photos";"Fotos del Perfil del Grupo"
"Group Profile Status";"Estado del grupo"
"Profile Groups";"Grupo del Perfil"
"There are no groups posted by your members yet.";"No se han creado grupos todavía."




#FORUMS


"Forums Plugin";"Forums Plugin"
"Forum";"Foro"
"Forums";"Foros"
"Create Forum";"Crear Foro"
"No forums in this category.";"No hay Foros en esta categoría."
"Moderators:";"Moderadores:"
"Moderator";"Moderador"
"Moderators";"Moderadores"
"Last post";"Última entrada"
"%1$s %2$s view";"%1$s %2$s vista";"%1$s %2$s vistas"
"%1$s %2$s reply";"%1$s %2$s respuesta";"%1$s %2$s respuestas"
"post";"anotación";"anotaciones"
"topic";"tema";"temas"
"in";"en"
"Post Topic";"Publicar Tema"
"Back To Topics";"Volver a Temas"
"posts";"entradas"
"This post was edited by %1$s at %2$s";"Esta entrada ha sido editada por %1$s el %2$s"
"Create";"Crear"
"<a id=""photo-label"" href=""javascript:showUploader();"">Attach a Photo</a>";"<a id=""photo-label"" href=""javascript:showUploader();"">Adjuntar Foto</a>"
"This post has a photo attached. Do you want to delete it?";"Esta entrada tiene una imagen adjunta. ¿Desea eliminarla?"
"Quick Reply";"Respuesta rápida"
"Topic Title";"Título del Tema"
"forum topic";"tema del foro";"temas del foro"
"Category Title";"Título de la Categoría"
"Forum Title";"Título del Foro"
"Forum Description";"Descripción del Foro"
"Member Name";"Nombre de Usuario"
"Delete Category";"Borrar categoría"
"Delete Forum";"Borrar Foro"
"Are you sure you want to delete this category?";"¿Desea borrar esta categoría?"
"How many posts will be shown per topic page? (Enter a number between 1 and 999";"Cuantas entradas se mostrarán por página en cada Tema? (Debe ser un número entre 1 y 999)"
"Posts per topic page";"Entradas por página de Tema"
"How topics will be shown per forum page? (Enter a number between 1 and 999";"Cómo se mostrarán los Temas en la página del Foro? (Debe ser un número entre 1 y 999)"
"Topics per forum page";"Temas por página"
"Yes, members can use BBCode tags.";"Sí, los usuarios pueden emplear etiquetas BBCode."
"No, do not let members use BBCode.";"No, los usuarios NO pueden emplear etiquetas BBCode."
"Enable BBCode";"Habilitar BBCode"
"Yes, members can use HTML in their posts.";"Sí, los usuarios pueden emplear HTML."
"No, strip HTML from posts.";"No, se eliminarán las etiquetas HTML."
"Enable HTML";"Habilitar HTML"
"FORUM_FORM_ADMIN_LEVEL_DESCRIPTION";"Estas configuraciones se aplican en función del nivel de usuario. Seleccione el nivel de usuario que quiere modificar y ajuste a continuación las preferencias para ese nivel."
"Allow Viewing of Forums?";"¿Permitir ver los Foros?"
"FORUM_FORM_ADMIN_LEVEL_VIEW_DESCRIPTION";"¿Desea que sus usuarios vean los Foros? Si decide que NO, algunos otros ajustes no surtirán efecto."
"Yes, allow viewing and subscription of forums.";"Sí, permitir ver o suscribirse a los Foros."
"No, do not allow forum to be viewed or subscribed to.";"No, no permitir ver o suscribirse al Foro."
"Allow Posting?";"¿Permitir Comentarios?"
"FORUM_FORM_ADMIN_LEVEL_CREATE_DESCRIPTION";"¿Desea permitir a sus usuarios crear Foros? Si decide que NO, algunos otros ajustes no surtirán efecto. Esto es especialmente útil si desea permitir visionado de Foros a sus usuarios pero quiere restringir a unos pocos usuarios o nivel de usuarios el crearlos."
"Yes, allow posting to forums.";"Sí, permitir artículos en el Foro."
"No, do not allow forum posts.";"No, no permitir artículos en el Foro."
"Allow Moderation?";"¿Permitir Moderación?"
"FORUM_FORM_ADMIN_LEVEL_MODERATE_DESCRIPTION";"¿Desea permitir a los usuarios la moderación de Foros?  Este permiso les habilita para fijar en cabecera algunos temas, cerrar temas, y editar o borrar cualquier entrada."
"Yes, allow moderation.";"Sí, permitir moderación."
"No, do not allow moderation.";"No, no permitir moderación."
"Allow HTML in posts?";"¿Permitir HTML en los artículos?"
"FORUM_FORM_ADMIN_LEVEL_CONTENTHTML_DESCRIPTION";"Si ha desactivado los HTML en los artículos pero quiere permitir etiquetas concretas, puede indicarlas a continuación (separadas por comas). Si ha habilitado el HTML, este ajuste no surtirá efecto.  Ejemplo: b, img, a, embed, font"
"Remove Moderator";"Excluir Moderador"
"Are you sure you want to remove this moderator?";"¿Desea excluir a este Moderador?"
"Forum renamed.";"Nuevo nombre del Foro."
"Category added.";"Categoría añadida."
"Forum added.";"Foro añadido."
"Moderator Added";"Moderador Incluido"
"Moderator Removed";"Moderador excluido"
"Category deleted.";"Categoría Borrada."
"Forum deleted.";"Foro borrado."
"Add Moderator";"Añadir Moderador"
"Search for a member to add as a moderator for this forum.";"Buscar usuario al que convertir en moderador de este Foro"
"Add Category";"Añadir Categoría"
"Add Forum";"Añadir Foro"
"move up";"mover hacia arriba"
"Your search returned too many results. only displaying the first 20.";"Su búsqueda arrojó demasiados resultados. Sólo se muestran los 20 primeros."
"ITEM_TYPE_FORUM_CATEGORY";"Categorías de Foro"
"ITEM_TYPE_FORUM";"Foros"
"ITEM_TYPE_FORUM_TOPIC";"Temas del Foro"
"ITEM_TYPE_FORUM_POST";"Artículos en el Foro"
"Off-Topic";"Fuera del Tema"
"News and Announcements";"Noticias y Avisos"
"Support";"Soporte"
"Off-Topic Discussions";"Debates fuera de tema"
"Introduce Yourself";"Preséntese"
"Suggestions";"Sugerencias"
"Manage Forums";"Administrar Foros"
"add";"añadir"
"remove";"quitar"
"Name";"Nombre"
"Member Type";"Tipo de Usuario"
"Only Members With Photos";"Sólo usuarios con fotos"
"Only Online Members";"Sólo usuarios conectados"
"'%value%' is not a valid zip code.";"'%value%' no es un código postal válido"
"Minimum Age";"Edad mínima"
"Currency Type";"Tipo de moneda"


#FIELDS




"Edit Profile Question";"Editar la pregunta de perfil"
"Question Type";"Clase de pregunta"
"Question Label";"Etiqueta de pregunta"
"Inline CSS";"CSS del campo"
"Custom Error Message";"Mensaje de Error personalizado"
"Required?";"¿Obligatorio?"
"Profile Questions";"Preguntas de Perfil"
"Add Question";"Añadir Pregunta"
"Rename Profile Type";"Renombrar Tipo de Perfil"
"Delete Profile Type";"Borrar Tipo de Perfil"
"Create New Profile Type";"Crear nuevo Tipo de Perfil"
"Show on Browse Members Page?";"¿Mostrar en Página de Listado de Usuarios?"
"Hide on Browse Members";"Ocultar en el listado de usuarios"
"Show on Browse Members";"Mostrar en el listado de usuarios"
"Show when no profile type has been selected";"Mostrar cuando no se haya seleccionado tipo de perfil"
"Show on Member Profiles?";"¿Mostrar en el perfil del usuario?"
"Show on Member Profiles";"Mostrar en el perfil del usuario"
"Show on Member Profiles (with links)";"Mostrar en el perfil del usuario (con enlaces)"
"Hide on Member Profiles";"Ocultar en el perfil del usuario"
"Save Question";"Guardar pregunta"
"Heading Name";"Nombre de encabezado"
"Add Heading";"Añadir encabezado"
"Choice Label";"Etiqueta de Opción"
"Add Choice";"Añadir opción"
"Profile Type Label";"Etiqueta de Tipo de Perfil"
"Add Profile Type";"Añadir Tipo de Perfil"
"These extra questions appear when ""%1$s"" is selected for ""%2$s"".";"Estas preguntas adicionales aparecen cuando ""%1$s"" se selecciona para ""%2$s""."
"FIELDS_VIEWS_SCRIPTS_ADMINFIELDS_DESCRIPTION";"‬A los usuarios se les solicitará cierta información sobre ellos mismos cuando se registren o cuando editen su perfil. ‬Cree algunas preguntas del perfil que les permitan describirse a sí mismos de tal manera que esté relacionado con el tema de su Red Social. Para alterar la secuencia y el orden de las preguntas basta con pulsar y arrastrarlas hacia la posición deseada. Si desea realizar otro tipo de preguntas en función de nuevos tipos de perfil, puede crear múltiples tipos de perfil. ‬Esto es útil, por ejemplo, si desea que su comunidad cuente con fans o forofos, músicos, cada cual con una diferente combinación de preguntas del perfil"
"Save Order";"Guardar Orden"
"Unable to find identifiers in text:";"Imposible hallar los identificadores en el texto:"
"cannot toggle, no event or element";"no se puede intercambiar, no hay evento o elemento"
"unable to find";"imposible de encontrar"
"could not find target element";"no pudo hallarse el objetivo"
"Are you sure you want to delete this option?";"¿Desea realmente borrar esta opción?"
"Are you sure you want to delete the current profile type?";"¿Desea borrar el tipo de perfil actual?"
"add question";"añadir pregunta"
"hide questions";"ocultar preguntas"
"edit choices";"editar opciones"
"Create New Profile Type";"Crear nuevo Tipo de Perfil"
"add new choice";"añadir nueva opción"
"Add Profile Question";"Añadir pregunta del perfil"
"Edit Profile Type";"Editar Tipo de Perfil"
"Editing Profile Type:";"Editar Tipo de Perfil"
"‬Single-line Text Input‭";"Campo de una sólo línea"
"‬Multi-line Text Input‭";"Campo de varias líneas‭‬"
"‬Select Box‭";"‬Lista desplegable"
"(‬Select Box)‭";"(‬Lista desplegable)"
"‬Radio Buttons‭";"‬Botones de selección"
"‬Single Checkbox‭";"‬Casilla de selección"
"‬Multi Select Box‭";"‬Menu desplegable múltiple‭‬"
"‬Multi Checkbox‭";"Casillas de selección múltiples"
"Integer";"Entero"
"Float";"Decimales"
"Heading";"Cabecera"
"City";"Ciudad"
"Country";"País"
"Zip Code";"Código Postal"
"Relationship Status";"Estado Civil"
"Looking For";"En busa de"
"Interested In";"Interesado en"
"Ethnicity";"Etnia"
"Income";"Ingresos"
"Occupation";"Ocupación"
"Political Views";"Tendencia Política"
"Religion";"Religión"
"Weight";"Peso"
"Zodiac";"Zodiaco"
"Eye Color";"Color de Ojos"
"Currency";"Moneda"
"Not Required";"No Requerido"
"Required";"Obligatorio"
"Generic";"Genérico"
"Specific";"Específico"
"Event";"Evento"
"Events";"Eventos"
"Event Photos";"Fotos de eventos"
"Past Events";"Eventos pasados"
"My Events";"Mis eventos"
"View All Events";"Ver todos los eventos"
"Delete Event:";"Borrar evento:"
"Create New Event";"Crear nuevo evento"
"Edit Event";"Editar evento"
"Join Event";"Asistir"
"Delete Event";"Borrar Evento"
"Leave Event";"No asistir"
"Nobody has created an event yet.";"Nadie ha creado un evento aún."
"Be the first to %1$screate%2$s one!";"Sé el primero en %1$screar%2$s uno"
"Tip: %1$sClick here%2$s to create a event or %3$sbrowse%2$s for events to join!";"Atención: %1$sPulse Aquí%2$s para crear un Evento o %3$sliste%2$s para encontrar Eventos en los que participar"
"event";"evento";"eventos"
"%s event";"Evento de %s";"Eventos de %s"
"%s guest";"%s invitado";"%s invitados"
"Back to Event";"Volver al Evento"
"Starts:";"Comienza:"
"Ends:";"Finaliza:"
"Hosted by";"Organizado por"
"Location:";"Ubicación:"
"Event Details";"Detalles del Evento"
"Edit Event Details";"Editar detalles del Evento"
"Edit Event Style";"Editar estilo del Evento"
"Share This Event";"Compartir este Evento"
"Invite Guests";"Traer invitados"
"Message Members";"Enviar mensaje a Usuarios"
"Guests";"Invitados"
"Photos";"Fotos"
"Discussions";"Debates"
"Date";"Fecha"
"Time";"Hora"
"Where";"Lugar"
"Host";"Anfitrión"
"Led by";"Dirigido por"
"RSVPs";"RSVPs"
"Map";"Mapa"
"%s person";"%s persona";"%s personas"
"attending";"confirman asistencia"
"maybe attending";"puede que asistan"
"not attending";"no asisten"
"Attending";"Confirmo asistencia"
"Maybe Attending";"Quizá asista"
"Not Attending";"No asisto"
"Your RSVP";"Su RSVP"
"Upcoming Events";"Próximos eventos"
"Search Guests";"Buscar Invitados"
"No photos have been uploaded to this event yet.";"Nadie ha subido fotos a este Evento todavía."
"Event left";"Excusa su asistencia"
"Event joined";"Se ha unido al Evento"
"Your invite request has been sent.";"Su solicitud de Invitación se ha enviado."
"Your invite request has been cancelled.";"Su solicitud de Invitación ha sido revocada."
"Event invite accepted";"Invitación al Evento aceptada"
"Event invite rejected";"Invitación al Evento rechazada"
"Event member removed.";"Asistente excluido."
"Event request approved";"Solicitud de Evento aprobada"
"Category:";"Categoría:"
"All Category";"Todas las categorías"
"Everyone's Groups";"Todos los  Grupos"
"Only My Friends' Groups";"Sólo los de mis amigos"
"List By:";"Listar Por:"
"All My Events";"Todos mis Eventos"
"Only Events I Lead";"Sólo Eventos que organizo"
"Accept Event Invitation";"Aceptar Invitación al Evento"
"Would you like to join this event?";"¿Le gustaría unirse a este Evento?"
"Approve Invite Request";"Aprobar Solicitud de Invitación"
"Would you like to approve this invite request?";"¿Desea Aprobar esta Solicitud?"
"Cancel Invite Request";"Cancelar Solicitud de Invitación"
"Would you like to cancel your request for an invite to this event?";"¿Desea cancelar su solicitud de ser Invitado?"
"Are you sure you want to leave this event?";"¿Desea abandonar este Evento?"
"Reject Event Invitation";"Rechazar Invitación al Evento"
"Would you like to reject the invitation to this event?";"¿Desea rechazar la Invitación a este Evento?"
"Are you sure you want to remove this member from the event?";"¿Desea quitar este Usuario de este Evento?"
"Request Event Membership";"¿Solicitar Pertenencia al Evento?"
"Would you like to request membership in this Event?";"¿Desea solicitar pertenecer a este Evento?"
"Delete Event Photo";"¿Borrar Foto del Evento"
"Edit Event Photo";"Editar Foto del Evento"
"Event Name";"Nombre del Evento"
"Event Description";"Descripción del Evento"
"Start Time";"Hora de comienzo"
"End Time";"Hora de finalización"
"Main Photo";"Foto principal"
"Event Category";"Categoría de Evento"
"People can search for this event";"La gente puede buscar este Evento"
"People must be invited to RSVP for this event";"Se debe recibir invitación para poder acudir"
"Invited guests can invite other people as well";"Los invitados pueden invitar a otros a su vez"
"Members Only";"Sólo Usuarios"
"Who may see this event?";"¿Quién puede ver este Evento?"
"Who may post comments on this event?";"¿Quién puede publicar comentarios a este Evento?"
"Who may upload photos to this event?";"¿Quién puede subir fotos a este Evento?"
"Only the Owner";"Sólo el anfitrión del Evento"
"Create Event";"Crear Evento"
"Are you sure you want to delete this event?";"¿Desea eliminar este Evento?"
"Choose the people you want to invite to this event.";"Seleccione a Quiénes desee invitar a este Evento."
"Event Styles";"Estilos de Evento"
"Custom Event Styles";"Estilos personalizados del Evento"
"You can change the colors, fonts, and styles of your event by adding CSS code below. The contents of the text area below will be output between <style> tags on your event.";"Puede modificar los colores, estilos y fuentes de su Evento añadiendo código CSS en el campo de abajo. El contenido de este campo se trasladará a las etiquetas <style> de su Evento."
"No topics have been posted in this event yet.";"No se ha abierto temática alguna en este Evento todavía."
"This event has %1$s guest.";"Este Evento tiene %1$s Invitado.";"Este Evento tiene %1$s Invitados."
"This event has %1$s guest that matched the query ""%2$s"".";"%1$s Invitado se ajusta a su criterio de búsqueda ""%2$s"".";"%1$s Invitados se ajustan a su criterio de búsqueda ""%2$s""."
"ADMIN_ACTIVITY_TYPE_EVENT_CREATE";"Cuando se cree un nuevo Evento"
"ADMIN_ACTIVITY_TYPE_EVENT_JOIN";"Cuando alguien se una a un Evento."
"ADMIN_ACTIVITY_TYPE_EVENT_PHOTO_UPLOAD";"Cuando Alguien suba una foto a un Evento."
"ADMIN_ACTIVITY_TYPE_EVENT_TOPIC_CREATE";"Cuando Alguien abra un Tema de Debate."
"ADMIN_ACTIVITY_TYPE_EVENT_TOPIC_REPLY";"Cuando alguien conteste a un tema de Debate."
"ADMIN_ACTIVITY_TYPE_EVENT_ACCEPTED";"Cuando se aprueba mi solicitud de asistir al Evento."
"ADMIN_ACTIVITY_TYPE_EVENT_DISCUSSION_REPLY";"Cuando la gente conteste a temas sobre los que contesté a su vez."
"ADMIN_ACTIVITY_TYPE_EVENT_DISCUSSION_RESPONSE";"Cuando la gente conteste a temas de debate que abrí."
"ADMIN_ACTIVITY_TYPE_EVENT_INVITE";"Cuando sea invitado a un Evento."
"_ACTIVITY_ACTIONTYPE_EVENT_CREATE";"Nuevos Eventos"
"_ACTIVITY_ACTIONTYPE_EVENT_JOIN";"Asistir a un Evento"
"_ACTIVITY_ACTIONTYPE_EVENT_PHOTO_UPLOAD";"Subir una Foto a un Evento"
"_ACTIVITY_ACTIONTYPE_EVENT_TOPIC_CREATE";"Abrir un Tema de Debate relacionado con el Evento"
"_ACTIVITY_ACTIONTYPE_EVENT_TOPIC_REPLY";"Contestar a un Tema de Debate"
"ACTIVITY_TYPE_EVENT_ACCEPTED";"Cuando se aprueba mi solicitud de asistir al Evento."
"ACTIVITY_TYPE_EVENT_CREATE";"Cuando se cree un nuevo Evento"
"ACTIVITY_TYPE_EVENT_DISCUSSION_REPLY";"Cuando la gente conteste a temas sobre los que contesté a su vez."
"ACTIVITY_TYPE_EVENT_DISCUSSION_RESPONSE";"Cuando la gente conteste a temas de debate que abrí."
"ACTIVITY_TYPE_EVENT_INVITE";"Cuando sea invitado a un Evento."
"ACTIVITY_TYPE_EVENT_JOIN";"Cuando alguien se una a un Evento."
"ACTIVITY_TYPE_EVENT_PHOTO_UPLOAD";"Cuando Alguien suba una foto a un Evento."
"ACTIVITY_TYPE_EVENT_TOPIC_CREATE";"Cuando Alguien abra un Tema de Debate."
"ACTIVITY_TYPE_EVENT_TOPIC_REPLY";"Cuando alguien conteste a un tema de Debate."
"Manage Events";"Administrar Eventos"
"Event Members";"Asistentes al Evento"
"Category Name";"Nombre de Categoría"
"Edit Category";"Editar Categoría"
"EVENT_FORM_ADMIN_LEVEL_DESCRIPTION";"Estas configuraciones se aplican en función del nivel de usuario. Seleccione el nivel de usuario que quiere modificar y ajuste a continuación las preferencias para ese nivel."
"Allow Viewing of Events?";"¿Permitir ver Eventos?"
"EVENT_FORM_ADMIN_LEVEL_VIEW_DESCRIPTION";"¿Desea permitir a los usuarios ver los Eventos? Si decide que NO, algunos otros ajustes no surtirán efecto."
"No, do not allow photo events to be viewed.";"No, no permitir visualizar las fotos de los Eventos."
"Yes, allow viewing and subscription of photo events.";"Sí, permitir ver y suscribirse a las fotos de los Eventos."
"Yes, allow members to view all events, even private ones.";"Sí, permitir a los usuarios ver los eventos, incluidos los privados."
"Allow Creation of Events?";"¿Permitir la creación de Eventos?"
"EVENT_FORM_ADMIN_LEVEL_CREATE_DESCRIPTION";"¿Desea permitir a sus usuarios crear Eventos? Si decide que NO, algunos otros ajustes no surtirán efecto. Esto es útil si desea que los usuarios puedan ver y suscribirse a Eventos pero que sólo ciertos usuarios puedan crearlos."
